22.4912 2.9370 0.6082 4.9914 2.2456 1.1307 -0.8391 -4.0798 3.7631 0.8963
-1.1699 23.0169 -2.6679 -3.8812 -3.6823 0.3599 -3.4259 -2.2266 -3.1644 -1.4387
0.2983 -2.4249 16.4991 2.0769 -1.8049 1.0277 -3.9151 0.9487 -0.5102 2.4925
0.6489 -4.0546 1.4881 21.6844 0.1761 -0.1851 -4.5365 -4.6526 0.4752 -4.4672
2.6448 -3.1649 -4.4670 1.3990 23.3252 3.2084 -2.7783 0.5564 -2.0041 -2.1023
1.9858 -4.1576 -0.3779 -0.7907 1.0270 21.5127 1.0654 -3.6966 4.7533 -2.6585
-1.5827 -0.9250 3.5848 -4.4993 -3.5231 -0.9696 21.4952 -1.5158 -3.1548 -0.7401
-2.2996 2.4084 -2.7558 1.9192 1.8733 1.5790 3.1324 21.7504 3.7184 -1.0644
2.2782 -3.3839 3.6569 -4.0592 2.5763 3.4338 4.9508 4.8203 30.7878 -0.6286
-0.8879 0.3967 -4.0724 -3.1879 1.4698 -1.7536 -1.1816 -4.7899 -0.5018 19.2416
8.5230 -4.4875 -0.0454 -9.4587 -3.8604 3.9682 5.1332 -6.0985 5.4456 3.3507
